Name,Brand,Notes
L'Etre Aime - Homme Eau de Parfum,Divine," bergamot, lavender, ginger, basil, cardamom, everlasting flower, cistus, sandalwood, vetiver, patchouli"
Augusto Eau de Parfum,Mazzolari," Bergamot, sweet orange, mint, rosewood, geranium, lavender, vetiver, amber, sandalwood."
Le Rose Eau de Parfum,Mazzolari," Rose, Indian sandalwood, musk."
Pichola Eau de Parfum,Neela Vermeire Creations," Cardamom, cinnamon, saffron, juniper, magnolia, neroli oil, clementine, bergamot, orange blossom absolute, rose absolute, tuberose absolute, jasmine sambac, ylang-ylang, benzoin absolute, sandalwood, driftwood, vetiver from Haiti."
O/E Eau de Parfum,Bogue Profumo," Bergamot, grapefruit, lemon, neroli, clove, black pepper, rosemary, thyme, camphor, Lebanon cedar, juniper, pine, cypress, rose, jasmine, vetiver, benzoin, tobacco, resins, sandalwood"
Asphalt Rainbow Scratch & Sniff Sticker Set,Charenton Macerations," Rose Absolute, Rose Fragments, Spray Paint (Aerosols), Galbanum, Lily of the Valley, Lychee, Ylang, Saffron, Magnolia, Leather, Cistus, Asphalt, Detritus, Patchouli, Wood, Amber"
Asphalt Rainbow Eau de Parfum,Charenton Macerations," Rose Absolute, Rose Fragments, Galbanum, Lily of the Valley, Lychee, Ylang, Saffron, Magnolia, Leather, Cistus, Asphalt, Patchouli, Wood, Amber"
Cristallo di Rocca Eau de Parfum,Omnia Profumo," Almond, citrus, lily of the valley, rose, geranium, ylang ylang, cloves, rum, iris, sandalwood, vanilla, and rock crystal."
Morning Muscs Eau de Parfum,Alexandre. J," Mandarin orange, grapefruit, peach, iris, damask rose, violet, patchouli, musk and moss."
Black Muscs Eau de Parfum,Alexandre. J," Bergamot, lemon, violet, rose, patchouli, amber, and musk."
Rose Oud Eau de Parfum,Alexandre. J," Rose, agarwood, musk, amber, lemon, olibanum and sandalwood."
Silver Ombre Eau de Parfum,Alexandre. J," Raspberry, lemon, apple, rose, iris, saffron, musk, patchouli, amber, vanilla and white woods."
Vaniglia Eau de Parfum,Mazzolari," Vanilla, caramel, orchid"
Nero Eau de Parfum,Mazzolari," Blackcurrant, apple, bergamot, pineapple, rose, jasmine, patchouli, birch, amber, musk, vanilla."
Christopher Street Eau de Parfum,Charenton Macerations," Alcoholic lime, bergamot, bitter orange, leather, tobacco, cinnamon, clove bud, orange blossom, poet carnation, incense, moss, musk, myrrh, patchouli."
Rudis Eau de Parfum,Nobile 1942," bergamot, dried fruits, rose, geranium, clove, saffron, cedar wood, leathery notes, patchouli, vetiver, immortelle, musk and incense"
Gardenia Eau de Parfum,M. Micallef," Gardenia, peach, ylang-ylang, jasmine, sandalwood, ambergris, white musk."
Mohur Extrait Parfum Extrait,Neela Vermeire Creations," Cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather, sandalwood, amber, woody notes, patchouli, agarwood (oud), benzoin, vanilla, and tonka bean."
Maai Eau de Parfum,Bogue Profumo," tuberose, rose, jasmine, ylang ylang, civet, castoreum, hyraceum, dried fruits, sandalwood, oakmoss."
SHE Shihan Eau de Parfum,Piotr Czarnecki," Plum, violet, rose, tobacco, incense, spices, vanilla"
Mood Indigo Eau de Parfum,Moth and Rabbit," Red pepper, camomile romaine, geranium, waterlily, musk, sandalwood, incense, amber, cedarwood, and patchouli."
Love Exposure Eau de Parfum,Moth and Rabbit," Ylang, magnolia flowers, neroli oil, cassis, bay oil, cumin oil, costus, jasmine sambac, encens, musk, sandalwood, ambergris, and vanilla."
Anubis Eau de Parfum,Papillon Artisan Perfumes," Suede, jasmine, pink lotus, immortelle, olibanum, myrrh and saffron."
Tobacco Rose Eau de Parfum,Papillon Artisan Perfumes," Bulgarian rose, rose de mai, oakmoss, ambergris, beeswax and peru balsam."
Angelique Eau de Parfum,Papillon Artisan Perfumes," Mimosa petals, orris, champaca, osmanthus, cedar and olibanum."
2022 Generation Homme Eau de Parfum,Stephane Humbert Lucas 777," Yuzu zest, blackcurrant, mint, Cambodian oud, precious oud, spices, balsamic notes."
Shihan Eau de Parfum,Piotr Czarnecki," Whiskey, coffee, tobacco, pepper, cinnamon, incense, myrrh, spicy accord, ambrette, labdanum, benzoin, amber and musk."
Black Gemstone Eau de Parfum,Stephane Humbert Lucas 777," Infusion of three cedars lemon, myrrh, tar, incense, teak, tonka."
Oumma Eau de Parfum,Stephane Humbert Lucas 777," Egyptian jasmine, Moroccan rose, Peruvian balsam, balsam tolu, ashes of cade, Burmese oud, nagarmotha."
Rose de Petra Eau de Parfum,Stephane Humbert Lucas 777," Rose oxide, pomegranate, litchi, Bulgarian rose, pepper, cardamom, cumin seeds."
Soleil de Jeddah Eau de Parfum,Stephane Humbert Lucas 777," Lemon, Roman chamomile, osmanthus, iris root, amber, earthy notes, iris butter, Russian leather, vanilla from Madagascar."
Khol de Bahrein Eau de Parfum,Stephane Humbert Lucas 777," Violet, nougat, gums, iris powder, sandalwood, benzoin, amber, musky balsamic notes."
O Hira Eau de Parfum,Stephane Humbert Lucas 777, Fossilized amber
Une Nuit a Doha Eau de Parfum,Stephane Humbert Lucas 777," Fennel, crystallized mandarin, ginger, immortelle flower from Corsica, vetiver from Haïti, brown tobacco, absolute of vanilla."
Magnolia Grandiflora - Sandrine Eau de Parfum,Grandiflora," Lemon, grapefruit, white pepper, fresh garden accords, dry wood accords, marine-aquatic accords, musky accords"
Vani Choc Eau de Parfum,Hilde Soliani," Citrus accord, vanilla, almond, sandalwood"
Tendre est la Nuit Eau de Parfum,Majda Bekkali," Corsican immortelle, ambrette and carrot seeds, cabreuva, davana, pepper, Sichuan pepper, benzoin, leather, labdanum, oakmoss, incense, patchouli, castoreum"
Monsieur Eau de Parfum,Pierre Guillaume Paris Black Collection," Patchouli, Cedarwood, Vetiver and Sandalwood, Absolute of Poplar, Oakmoss, Incense Wood and Papyrus."
Ashoka Eau de Parfum,Neela Vermeire Creations," Lotus, rose, water hyacinth, fig leaf, parsley leaf, Osmanthus absolute, cassie absolute, iris, incense essence, Jasmine sambac, fig milk, geranium, ylang-ylang, Fir balsam absolute, myrrh, cedarwood, sandalwood, vanilla accord, ambre gris, birch, Haitian vetiver, leather, styrax, heliotrope"
Cologne Absolute Eau de Parfum,Tom Daxon," Neroli, bergamot, tarragon, green violet leaf, lemon petitgrain, jasmine, lily of the valley, givescone, patchouli, cypriol"
Sicilian Wood Eau de Parfum,Tom Daxon," Lemon, tangerine, bergamot, cardamom, gaiac wood, jasmine, lily of the valley, amber cedarwood, sandalwood"
Resin Sacra Eau de Parfum,Tom Daxon," Suede, frankincense, patchouli, benzoin Siam, cistus, ambroxan, sandalwood, vetiver"
Iridium Eau de Parfum,Tom Daxon," Juniper, angelica, carrot seed, iris, vetiver, cedarwood, Iso E Super"
Salvia Sclarea Eau de Parfum,Tom Daxon," Grass, green violet leaf, bergamot, elemi, clary sage, jasmine, oakmoss, cashmeran, white musks"
Agua Magnoliana Eau de Parfum,Fueguia 1833," Amazon magnolia, Santalum Album, grandiflorum jasmine"
Talc Gourmand Eau de Parfum,Farmacia SS. Annunziata dal 1561," Honey, caramel, vanilla flower, talcum powder, heliotrope, chocolate, tonka bean, sandalwood, vanilla"
Orgasmo Eau de Parfum,Hilde Soliani," almond, amaretto liqueur accord"
J'ai Fait Un Reve - Obscur Eau de Parfum,Majda Bekkali," Pink pepper, bergamot, Egyptian jasmine absolute, vanilla flower, oud, saffron, Moroccan atlas cedar and cashmere wood"
J'ai Fait Un Reve - Clair Eau de Parfum,Majda Bekkali," Petitgrain, elemi, cumin, currant leaves, orange blossom, jasmine, lisylang, castoreum, white musk, white cedar, guaiac, leather, labdanum, incense and papyrus"
Fusion Sacree - Clair Eau de Parfum,Majda Bekkali,"fir, cedar, patchouli, jasmine, orange blossom, vanilla, musk, benzoin"
Fusion Sacree - Obscur Eau de Parfum,Majda Bekkali," Rum, citron, celery, sweet orange, neroli, cardamom, lavender, davana, bergamot, white coffee, tuberose absolute, cloves, geranium, sweet william pear, liquorice, benzoin resinoid, opoponax resinoid, ambergris, cedar, sandalwood, vanilla, caramel and musk"
Mon Nom Est Rouge Eau de Parfum,Majda Bekkali," Pepper, lemon, elemi, pink pepper, metallic affect, Turkish rose, geranium, cardamom, cumin, cinnamon, ginger, incense, woody balsamic, cedar, sandalwood, amber, vanilla, labdanum, patchouli, tonka bean, musk"
Platino,Omnia Profumo," Whipped cream, coconut, caramel, almond milk, jasmine, mimosa, vanilla, white musk"
L'homme infini Eau de Parfum,Divine," Coriander leaf and grain, elemi, black pepper, oak, cedar, agar wood, vetiver, amber, benzoin"
Crema di Latte Eau de Parfum,Hilde Soliani," Milk, sugar, vanilla"
Cristina Eau de Parfum,Hilde Soliani," Patchouli, labdanum, vanilla"
Poudre de Riz Eau de Parfum,Pierre Guillaume Paris Black Collection," Damask rose, tiare absolute, coconut, vanilla, rice powder accord (caramelic, burnt toast and maple notes), sandalwood, iris, cedar, tonka bean, Tolu balsam and benzoin resin"
450 Eau de Parfum,Farmacia SS. Annunziata dal 1561," Musk, Iris of Florence, Amber, Aromatic notes, Incense, Vanilla"
Emir Eau de parfum,M. Micallef," orange, grapefruit, geranium, oud, black pepper, patchouli, cedarwood, leather, musk"
Bombay Bling Eau de Parfum,Neela Vermeire Creations," Mango, lychee, blackcurrant, cardamom, cumin, cistus, Turkish rose, jasmine sambac, ylang-ylang, tuberose, plumeria, gardenia, patchouli, tobacco, sandalwood, cedar, vanilla"
Mohur Eau de Parfum,Neela Vermeire Creations," Cardamom, coriander, ambrette, carrot, black pepper, elemi,  Turkish rose oil, jasmine, orris, hawthorn, almond milk accord, leather, sandalwood, amber, patchouli, oudh Palao from Laos, benzoin, vanilla, tonka bean"
Trayee Eau de Parfum,Neela Vermeire Creations," Blue ginger, elemi, cinnamon, ganja accord, blackcurrant absolute, basil, jasmine sambac, Egyptian jasmine, cardamom absolute, clove, saffron, Javanese and Haitian vetiver, incense, Mysore sandalwood oil, patchouli, myrrh, vanilla, cedar, amber notes, oud palao from Laos, oak moss."
Myrrhiad Eau de Parfum,Pierre Guillaume Paris Black Collection," Myrrh, black tea absolute, vanilla, licorice"
Oro Eau de Parfum,Omnia Profumo," Lemon, Bergamot, Cyclamen, Lavender, Lilac, Peony, Patchouly Sandalwood, Coumarin, Incense, Vanilla"
Conaffetto Eau de Parfum,Hilde Soliani," Orange blossom, almond, sugar"
Patchouli Nobile Eau de Parfum,Nobile 1942," Citrus, white pepper, frankincense, patchouli, gaic wood, cistus, jasmine Moroccan cedarwood, amber, oak moss, sandalwood, tonka."
Estroverso Eau de Parfum,Nobile 1942," Lemon, Orange, Tangerine, Lime, Rosemary, Mugwort, Cedarwood, Vetiver, Patchouly, Musk, Ambergris"
Ambra Nobile Eau de Parfum,Nobile 1942," Neroli, Bergamot, Ambergris, Labdanum, Patchouly, Tonka Bean, Sandalwood, Cedarwood, Vetiver"
Note Vanillee Eau de Parfum,M. Micallef," mandarin, jasmine, honey, licorice, sandalwood, vanilla, cognac, rum"
Beachwood Eau de Parfum,Costamor," Bergamot, Mandarin, Neroli, Jasmine, Coconut, Cedar wood, Sandalwood, Amber, Musk"
Sugarwood Eau de Parfum,Costamor," Bergamot, fig, sugar cane pulp, peony, jasmine, musk, iris, vanilla, cedarwood"
Eau Divine Eau de Parfum,Divine," Green mandarin, star anise, ginger, nutmeg, orange flower, violet, cardamom, white amber, labdanum, hot musk"
Il Vs Iris Eau de Parfum,Hilde Soliani," Orris root, green pepper, almond, sandalwood."
Acquiiissssima Eau de Parfum,Hilde Soliani," seaweed, jasmine, green tea"
Fraaagola Saalaaata Eau de Parfum,Hilde Soliani, Strawberry salt
L'etre Aime - Femme Eau de Parfum,Divine," neroli, bergamot, nectarine, jasmine, lily, tincture of rose, everlasting flowers, labdanum, sandalwood, vetiver and vanilla"
Ambra Eau de Parfum ...,Omnia Profumo," Orange, bergamot, geranium, incense, lavender, patchouli, vanilla, labdanum, opoponax, amber"
Madera Eau de Parfum,Omnia Profumo," Vanilla pod, caramel, Madagascar vanilla, peach blossom, wildflowers, tobacco flower, coconut, white musk"
Onice Eau de Parfum ...,Omnia Profumo," citrus, anise, lavender, licorice, peach, pineapple, rose, nutmeg, geranium, hyacinth, jasmine, ylang, mint, sandalwood, musk, cedarwood, amber"
Vaniglia del Madagascar Parfum Concentration,Farmacia SS. Annunziata dal 1561," lemon, floral notes, amber notes, Madagascar vanilla"
Reve en Cuir Eau de Parfum,Indult," Bergamot, Lemon, Cardamom, Oregano, Clove Bud, Texan Cedarwood, Patchouli, Oak Moss, Haitian Vetyver, Crystallized Vanilla Recent Press New York Times' Chandler Burr gives Reve en Cuir  Five Stars'Leather �� old, dark, smoky, heavy �� is diabolically difficult to adapt to an accessible 21st-century format. Under the creative direction of Maselli, Wright and Eastwood, Kurkdjian has succeeded masterfully. Rêve is a delectable, edible, light-infused leather that is instantly legible, deliciously impossible, as if an Hermès belt had been candied and baked by a patissier. Technically perfect (it lasts and diffuses like clockwork), it is also an aesthetic triumph. Hermès's own Kelly Calèche wonderfully modernized leather; Rêve en Cuir is even better, stronger and more daring. It is not just the leather you never imagined �� it is also the gourmand you never imagined. Indeed, membership has its privileges.' ~ Chandler Burr - The Moment Blog - NYTimes.com: Scent Notes"
Patchouly Indonesiano Parfum ...,Farmacia SS. Annunziata dal 1561, Patchouli from Indonesia
Ambra Nera Parfum ...,Farmacia SS. Annunziata dal 1561," cypress, eucalyptus, amber, benzoin, vetiver, vanilla, patchouly"
Chia Eau de Parfum,Farmacia SS. Annunziata dal 1561," almond, orange, rose, candyfloss, hazelnut, vanilla, amber, musk"
Cara Eau de Parfum,Farmacia SS. Annunziata dal 1561," Amber, caramel, almond, talcum, vanilla"
Takis Eau de Parfum,Farmacia SS. Annunziata dal 1561," Lemon, thyme, sage, rose, musk, ylang ylang, vanilla, oak"
Perla Eau de Toilette,Farmacia SS. Annunziata dal 1561," Lemon, osmanthus, amber, vanilla"
Royal Muska Eau de Parfum,M. Micallef," ylang ylang, rose, precious woods, white musks, fruits, benzoin"
Vanille Oud Eau de Parfum,M. Micallef," bergamot, ylang-ylang, prune, oud, caramel, musk, vanilla, benzoin"
Gaiac Eau de Parfum,M. Micallef," bergamot, jasmine, cloves, gaiac, vetiver, vanilla"
Homme (Aoud) Eau de Parfum,M. Micallef," rose, aoud, sandalwood, cinnamon, saffron, nutmeg, honey, patchouli"
Avant Garde Eau de Parfum,M. Micallef," bergamot, grapefruit, cocoa bean, tobacco, incense, Russian leather, tonka bean, grey amber"
Manakara Eau de Parfum,Indult," rose, lychee"
Isvaraya Eau de Parfum,Indult," Patchouli, Indian plum tree, jasmine"
L'Inspiratrice Eau de Parfum,Divine," Rose, ylang-ylang, vanilla, tonka bean, vetiver, patchouli"
All That Matters Eau de Parfum,Anamor," musk, sandalwood, lily of the valley"
Mazzolari Eau de Toilette,Mazzolari," Sandalwood, vetiver, spices and subtle citrus and green notes"
Lui Eau de Toilette,Mazzolari," Sandalwood, cedar, patchouli, ambergris, vetiver, spices"
Alessandro Eau de Toilette,Mazzolari," almond, honey, vanilla"
Musk Eau de Toilette,Mazzolari," light musc, subtle spice notes"
Patchouli Eau de Toilette,Mazzolari," Indonesian patchouli, spices, hints of amber, honey"
L'ame Soeur Eau de Parfum,Divine," jasmine, otto of Bulgarian rose, ylang, ambergris"
Douceur de Vanille Eau de Parfum,Les Nereides," bourbon vanilla, almond, cocoa, white rose, star aniseed"
Opoponax Eau de Parfum,Les Nereides," opoponax (sweet myrrh), amber, vanilla, sandalwood, benzoin, citrus"
Patchouli Precieux Eau de Parfum,Les Nereides," Sweet orange, Green notes, Balsam, Scots Pine, Sandalwood, Patchouli, Vanilla, Musk"
Black Gardenia Perfume Oil,Michele Bergman,floral
Divine Eau de Parfum,Divine," peach, coriander, gardenia, Indian tuberose, May rose, oak moss, musk, vanilla, spice"
L'Infante Eau de Parfum,Divine," Chinese jasmine, peony, blackcurrant leaves, ivy, ambergris, vanilla, musk, tonka bean"
Molecule 05 Eau de Toilette,Escentric Molecules, Cashmeran
Escentric 05 Eau de Toilette,Escentric Molecules," Fig, bergamot, orange, laurel, rosemary, juniper, basil, hedione, cypress, freesia, iris, jasmine, cashmeran, cistus labdanum, musc, ambroxan, mastic, iso e super"
Explicite Eau de Parfum,Ex Nihilo," Nutmeg, Pink Pepper, Peony, Lily of the Valley, Praline, Vanilla, Sandalwood, Amber"
Triad Extrait de Parfum,Bortnikoff," Tincture of Wild Oud from Sri Lanka, Magnolia, Rose de Mai, Indonesian Bouya, Organic Oud from China (Hay-nan), Oud from Thailand, Tonka Beans, Benzoin from Sumatra, Hyraceum"
Arborist Eau de Parfum,Jorum Studio," Quince, Honey, Saffron, Osmanthus Absolute, Magnolia, Burdock, Papyrus, Mugwort, Rose Absolute, Tuberose, Myrrh Absolute, Spruce Resin, Douglas Fir, Labdanum, Jatamansi, Malt, Lichen"
Eau Capitale Eau de Parfum,Diptyque," Bergamot, pink pepper, rose essence, rose absolute, rose concentrate, patchouli coeur"
Fougere L'Aube Eau de Toilette,Rogue Perfumery," lavender, oakmoss, geranium, citrus, hay, galbanum, costus, musk, sandalwood, camphor, amber, Moroccan rose"
Medie Eau de Parfum,Cire Trudon," Grapefruit, Green mandarin, Sambac jasmine"
Borneo Oud Pure Oud Oil,Fragrance du Bois, 100% pure oud
Chypre Azural Eau de Parfum,Les Indemodables," Sicilian Tarocco orange oil, Egyptian centifolia rose absolute grand cru, Indonesian patchouli, Ambergris tincture, Tarragon from the Alps"
L'Eau des Sacres,Reims Parfums," Pink pepper, lavender, orange blossom, honey, rose, tonka bean, sandalwood, ambergris"
Awake Eau de Parfum,Akro," Balkans Santos Coffee, Green Cardamom, Italian Lemon, Haitian Vetiver"
B683 Eau de Parfum,Marc-Antoine Barrois," Black Pepper, Saffron, Chili Pepper, Nutmeg, Violet Leaf, Amber, Cistus Absolute, Musk, Patchouli, Santal Wood, Oakmoss, Ambroxan"
Ramune (Japanese Soda) Eau de Parfum,J-Scent," Spearmint, Peppermint, Lemont Squash, Raspberry, Bergamot, Aldehyde, Rose, Muguet, Water Lily, Magnolia, Hyacinth, Musk, Amber, Cedarwood, Sandalwood, Vanilla"
Fille en Aiguilles Eau de Parfum,Serge Lutens," Pine needles, vetiver, sugary sap, laurel, fir balsam, frankincense, candied fruit and spice."
Purple Haze Eau de Parfum,19-69," Italian Bergamot, Corsican Cypress, Cannabis Accord, Ranesara, Ciste, Palmarosa, Thyme, Gurjum, Violet Leaf, Vanilla, Patchouli, Black Pepper, White Musk, Dry Woods"
Peau de Peche Eau de Parfum,Keiko Mecheri," white peach, orris powder, sandalwood, amber wood"
Lost Cherry Eau de Parfum,TOM FORD Private Blend," black cherry accord, bitter almond, griotte syrup, rose absolute Orpur®, Peru balsam, roasted tonka Click Here For Ingredients ×Close Lost Cherry by TOM FORD Private Blend Ingredients Please be aware that ingredient lists may change or vary from time to time.  Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients."
